zid_from;zid_to;ID
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
9;9;9
10;10;10
11;11;11
12;12;12
13;13;13
14;14;14
15;15;15
16;16;16
17;17;17
18;18;18
19;19;19
20;20;20
21;21;21
22;22;22
23;23;23
24;24;24
25;25;25
26;26;26
27;27;27
28;28;28
29;29;29
30;30;30
31;31;31
32;32;32
33;33;33
34;34;34
35;35;35
36;36;36
37;37;37
38;38;38
39;39;39
40;40;40
41;41;41
42;42;42
43;43;43
44;44;44
45;45;45
46;46;46
49;49;49
51;51;51
71;71;71
121;121;6
75;75;75
76;76;76
77;77;77
81;81;81
119;119;119
120;120;120
122;122;6
533;533;6
123;123;123
124;124;124
125;125;125
126;126;126
127;127;127
128;128;128
129;129;129
130;130;130
131;131;131
132;132;132
140;140;140
534;534;6
336;336;336
143;143;143
144;144;144
145;145;145
146;146;146
147;147;147
148;148;148
149;149;149
150;150;150
151;151;151
152;152;152
153;153;153
154;154;154
155;155;155
156;156;156
157;157;157
158;158;158
159;159;159
160;160;160
161;161;161
162;162;162
163;163;163
164;164;164
165;165;165
166;166;166
337;337;336
338;338;336
339;339;336
186;186;186
187;187;186
188;188;188
189;189;186
190;190;186
191;191;186
192;192;186
193;193;186
340;340;336
181;181;181
183;183;181
184;184;181
527;527;181
528;528;181
529;529;181
530;530;181
531;531;181
293;293;293
294;294;293
307;307;293
327;327;293
223;223;223
224;224;224
225;225;225
226;226;226
227;227;227
228;228;228
229;229;229
230;230;230
231;231;231
232;232;232
328;328;293
258;258;258
259;259;259
274;274;274
275;275;275
276;276;276
277;277;277
278;278;278
279;279;279
329;329;293
330;330;293
295;295;295
296;296;296
331;331;293
332;332;293
299;299;299
300;300;300
301;301;301
302;302;302
303;303;303
333;333;293
305;305;305
334;334;293
335;335;293
480;480;293
481;481;293
310;310;310
482;482;293
557;557;293
204;204;204
205;205;204
206;206;204
207;207;204
212;212;204
213;213;204
214;214;204
215;215;204
218;218;204
219;219;204
220;220;204
221;221;204
222;222;204
233;233;204
72;72;72
141;141;72
142;142;72
297;297;72
298;298;72
304;304;72
306;306;72
308;308;72
309;309;72
311;311;72
341;341;72
342;342;72
343;343;72
344;344;72
345;345;72
475;475;475
476;476;476
477;477;477
478;478;478
479;479;479
346;346;72
347;347;72
348;348;72
349;349;72
350;350;72
485;485;485
493;493;493
494;494;494
495;495;495
496;496;496
497;497;186
498;498;186
499;499;186
500;500;186
501;501;186
502;502;186
503;503;186
504;504;186
505;505;186
506;506;186
507;507;186
508;508;186
509;509;509
510;510;510
511;511;511
512;512;512
513;513;513
514;514;514
515;515;515
516;516;516
517;517;517
518;518;518
519;519;519
520;520;520
521;521;521
522;522;522
523;523;523
524;524;524
525;525;525
526;526;526
351;351;72
352;352;72
353;353;72
354;354;72
355;355;72
532;532;532
375;375;72
483;483;72
535;535;535
536;536;536
537;537;537
538;538;538
539;539;539
540;540;540
541;541;541
542;542;542
543;543;543
544;544;544
545;545;545
546;546;546
547;547;547
548;548;548
549;549;549
550;550;550
551;551;551
552;552;552
553;553;553
554;554;554
555;555;555
556;556;556
484;484;72
