number_marsh;name_marsh;koeff
A 198;СамараАвтоГаз;0
A 261;Шоссе;0.641291108404385
A 215;Рейс;0.90320962888666
A 423А;Городской Экспресс;0.48310291858679
A 146;СамараАвтоГаз;0.19047619047619
A 29;СамараАвтоГаз;0.916058394160584
A 26;СамараАвтоГаз;0.639548693586698
A 77Д;СамараАвтоГаз;0.5
A 61;СамараАвтоГаз;0.515122873345936
A 21;СамараАвтоГаз;0.79415501905972
Tb 7;ТД2;0.906091370558376
A 45;СамараАвтоГаз;0.466985645933014
A 3;СамараАвтоГаз;0.485849056603774
A 156;АТП4;0.25
A 110-13;Городской Экспресс;0.285714285714286
Tb 18;ТД3;0.63265306122449
Tm 5;ГТД;0.687975120939876
A 185К;СамараАвтоГаз;0
A 169;АТП4;0.3
A 124;Городской Экспресс;0.423218673218673
A 27К;СамараАвтоГаз;0.771929824561403
A 410А;Городской Экспресс;0.713479809976247
A 41;СамараАвтоГаз;0.533692722371968
A 281;Шоссе;0.701246660730187
A 46;Рейс;0.585972850678733
A 197;СамараАвтоГаз;0.735294117647059
A 27к;Рейс;0.857142857142857
A 295;Рейс;0.444524495677233
A 268;Рейс;0.551593959731544
A 75;СамараАвтоГаз;0.58343949044586
A 97;Рейс;0.355314960629921
A 126Ю;Городской Экспресс;0.576332899869961
Tb 6;ТД1;0.973846153846154
A 139;Городской Экспресс;1
A 203;Шоссе;0.827922077922078
A 174;АТП4;0.166666666666667
A 492;Городской Экспресс;0.693230769230769
A 7;СамараАвтоГаз;0.689655172413793
A 12;СамараАвтоГаз;0.307377049180328
A 50;СамараАвтоГаз;0.481294536817102
A 30;СамараАвтоГаз;0.494866529774127
A 32;СамараАвтоГаз;0.481627296587927
A 126б;СамараАвтоГаз;0.326923076923077
A 173;АТП4;0.173267326732673
A 145;СамараАвтоГаз;0.735294117647059
A 36Д;СамараАвтоГаз;0.958646616541353
Tb 12;ТД3;0.777472527472527
Tm 3;КТД;0.602434928631402
Tm 7;СТД;0.915371329879102
A 140А;Городской Экспресс;0.798435923309788
A S7;СамараАвтоГаз;0
A 99;Рейс;0.637323943661972
A 17;СамараАвтоГаз;0.303719008264463
A 80;Рейс;0.3046875
A 96;Рейс;0.650233744156396
A 59;СамараАвтоГаз;0.363025210084034
Tm 22;ГТД;0.771823681936041
Tm 1;ГТД;0.627058823529412
Tb 20;ТД1;0.820071258907363
A 118;Городской Экспресс;0.689226519337017
A 272;Шоссе;0.355172413793103
A 21м;Шоссе;0.563719862227325
A 480;Рейс;0.481007596961216
Tb 4к;ТД2;0.87344398340249
A 207;Ремикс;0.520206022187005
A 123;Городской Экспресс;0.857482185273159
A 171;СамараАвтоГаз;0.175675675675676
Tm 4;КТД;0.542355371900826
Tb 6А;ТД1;0.938978240302744
A 132;СамараАвтоГаз;0.256756756756757
A 127;Городской Экспресс;0.498191681735986
;;0.924197060424605
A 53;СамараАвтоГаз;0.564948453608247
A 429;Городской Экспресс;0.443491422805247
Tm 21;КТД;0.400589101620029
Tm S5;КТД;1
Tb 9;ТД2;0.687692307692308
A 147;СамараАвтоГаз;0.666666666666667
A 59А;СамараАвтоГаз;0.363025210084034
A 4К;СамараАвтоГаз;0
A 34;СамараАвтоГаз;0.668345927791772
A 153;СамараАвтоГаз;0.735294117647059
Tb 16;ТД1;0.770588235294118
Tm 25;КТД;0.486285714285714
A 22д;Арсенал;0.80939226519337
A 159;АТП4;0.519230769230769
A 119;Городской Экспресс;0.459227467811159
A 297;Рейс;0.593761334784186
Tm 24к;КТД;0.946700507614213
Tm 12;СТД;0.811193111931119
Tm 15;ГТД;0.748287671232877
Tb 8;ТД2;0.972413793103448
A 22;СамараАвтоГаз;0.962540716612378
Tm 11;КТД;0.715176715176715
