rc_id;rl_id;ss_id;rc_orderby;ss_name
136501;1365;615;1;Автостанция Аврора
136502;1365;268;2;Автостанция Аврора
136503;1365;269;3;ул.Мориса Тореза
136504;1365;270;4;ул.Гагарина
136505;1365;271;5;ул.Дыбенко
136506;1365;272;6;ул.Антонова-Овсеенко
136507;1365;273;7;Дом Печати
136508;1365;274;8;Автовокзал Центральный
136509;1365;31;9;Аэрокосмический университет
136510;1365;32;10;ул.Революционная
136511;1365;176;11;Клиники Медуниверситета
136512;1365;177;12;ул.Мичурина
136513;1365;178;13;Выставочный центр Экспо-Волга
136514;1365;35;14;Площадь Памяти
136515;1365;44;15;Сквер Мичурина
136516;1365;37;16;Губернский рынок
136517;1365;38;17;ЦУМ Самара-Пригородный автовокзал
136518;1365;553;18;Поликлиника (высадка)
136519;1365;552;19;Железнодорожный вокзал (стоянка)
136601;1366;552;1;Железнодорожный вокзал (стоянка)
136602;1366;40;2;Железнодорожный вокзал
136603;1366;143;3;Железнодорожный вокзал
136604;1366;42;4;ЦУМ Самара-Пригородный автовокзал
136605;1366;43;5;Губернский рынок
136606;1366;36;6;Сквер Мичурина
136607;1366;45;7;Площадь Памяти
136608;1366;145;8;Выставочный центр Экспо-Волга
136609;1366;146;9;пр.Масленникова
136610;1366;147;10;Клиники Медуниверситета
136611;1366;79;11;ул.Революционная
136612;1366;48;12;Аэрокосмический университет
136613;1366;226;13;Автовокзал Центральный
136614;1366;227;14;Дом Печати
136615;1366;228;15;ул.Антонова-Овсеенко
136616;1366;229;16;ул.Дыбенко
136617;1366;230;17;ул.Гагарина
136618;1366;231;18;ул.Мориса Тореза
136619;1366;615;19;Автостанция Аврора
156501;1565;273;1;Дом Печати
156502;1565;274;2;Автовокзал Центральный
156503;1565;49;3;Автовокзал Центральный
156504;1565;50;4;ул.Потапова
156505;1565;437;5;Телецентр
156506;1565;438;6;Торговый городок
156507;1565;440;7;Магазин
156508;1565;442;8;Экономическая академия
156509;1565;444;9;ул.Советской Армии
156510;1565;446;10;Машиностроительный колледж
156511;1565;448;11;ул.Вольская
156512;1565;451;12;Станция метро Победа
156513;1565;452;13;ул.Красных Коммунаров
156514;1565;93;14;Заводское шоссе
156515;1565;454;15;Госбанк
156516;1565;455;16;ул.Кабельная
156517;1565;456;17;ОАО Моторостроитель
156518;1565;459;18;Профтехучилище
156519;1565;461;19;Проходная ОАО Моторостроитель
156520;1565;463;20;ул.Береговая
156521;1565;470;21;Завод Экран
156522;1565;466;22;Завод Экран
156601;1566;466;1;Завод Экран
156602;1566;464;2;ул.Береговая
156603;1566;462;3;Проходная ОАО Моторостроитель
156604;1566;460;4;Профтехучилище
156605;1566;458;5;Заводское шоссе
156606;1566;210;6;Станция метро Кировская
156607;1566;223;7;Площадь им. Кирова
156608;1566;206;8;ул.Воронежская
156609;1566;1466;9;Дом Дружбы Народов
156610;1566;203;10;Безымянский рынок
156611;1566;201;11;ул.Ново-Вокзальная
156612;1566;199;12;ул.Александра Матросова
156613;1566;467;13;ул.XXII Партсъезда
156614;1566;447;14;Машиностроительный колледж
156615;1566;445;15;ул.Советской Армии
156616;1566;443;16;Экономическая академия
156617;1566;441;17;Магазин
156618;1566;439;18;Торговый городок
156619;1566;469;19;Парк Гагарина
156620;1566;28;20;Телецентр
156621;1566;29;21;ул.Потапова
156622;1566;30;22;Автовокзал Центральный
156623;1566;226;23;Автовокзал Центральный
156624;1566;227;24;Дом Печати
156625;1566;273;25;Дом Печати
166501;1665;120;1;14-й микрорайон
166502;1665;122;2;Универсам
166503;1665;487;3;Кинотеатр Самара
166504;1665;489;4;пр.Кирова
166505;1665;491;5;Поликлиника № 6
166506;1665;493;6;ул.Воронежская
166507;1665;189;7;ул.Ново-Вокзальная
166508;1665;187;8;10-й микрорайон
166509;1665;185;9;Кинотеатр Шипка
166510;1665;495;10;Магазин Мебель
166511;1665;469;11;Парк Гагарина
166512;1665;28;12;Телецентр
166513;1665;29;13;ул.Потапова
166514;1665;30;14;Автовокзал Центральный
166515;1665;31;15;Аэрокосмический университет
166516;1665;32;16;ул.Революционная
166517;1665;33;17;Станция метро Московская
166518;1665;1795;18;ул.Киевская
166519;1665;498;19;Химчистка
166520;1665;500;20;ул.Клиническая
166521;1665;503;21;ул.Владимирская-Международный институт рынка
166522;1665;37;22;Губернский рынок
166523;1665;38;23;ЦУМ Самара-Пригородный автовокзал
166524;1665;39;24;Поликлиника(Железнодорожный вокзал)
166525;1665;392;25;ул.Буянова
166526;1665;393;26;Стадион Динамо
166527;1665;394;27;Театр Кукол
166528;1665;395;28;ул.Молодогвардейская
166529;1665;397;29;Филармония
166530;1665;432;30;ул.Некрасовская
166531;1665;391;31;Площадь Революции
166532;1665;508;32;ул.Степана Разина
166533;1665;366;33;Хлебная площадь
166601;1666;366;1;Хлебная площадь
166602;1666;434;2;Площадь Революции
166603;1666;433;3;ул.Некрасовская
166604;1666;398;4;Филармония
166605;1666;396;5;ул.Молодогвардейская
166606;1666;413;6;Театр Кукол
166607;1666;414;7;Стадион Динамо
166608;1666;415;8;ул.Буянова
166609;1666;40;9;Железнодорожный вокзал
166610;1666;143;10;Железнодорожный вокзал
166611;1666;42;11;ЦУМ Самара-Пригородный автовокзал
166612;1666;43;12;Губернский рынок
166613;1666;504;13;ул.Владимирская-Международный институт рынка
166614;1666;502;14;ул.Клиническая
166615;1666;499;15;Химчистка
166616;1666;46;16;ул.Киевская
166617;1666;47;17;Станция метро Московская
166618;1666;79;18;ул.Революционная
166619;1666;48;19;Аэрокосмический университет
166620;1666;49;20;Автовокзал Центральный
166621;1666;50;21;ул.Потапова
166622;1666;437;22;Телецентр
166623;1666;497;23;Парк Гагарина
166624;1666;496;24;Магазин Мебель
166625;1666;184;25;Кинотеатр Шипка
166626;1666;186;26;10-й микрорайон
166627;1666;188;27;ул.Ново-Вокзальная
166628;1666;494;28;ул.Воронежская
166629;1666;492;29;Поликлиника № 6
166630;1666;490;30;пр.Кирова
166631;1666;488;31;Кинотеатр Самара
166632;1666;123;32;Универсам
166633;1666;121;33;14-й микрорайон
166634;1666;120;34;14-й микрорайон
236501;2365;182;1;9-й микрорайон
236502;2365;560;2;Соборная мечеть
236503;2365;562;3;ул.Фадеева
236504;2365;52;4;Завод Тарасова
236505;2365;53;5;11-й микрорайон
236506;2365;564;6;Московское шоссе
236507;2365;566;7;ул.Фадеева
236508;2365;568;8;ул.Стара-Загора
236509;2365;190;9;пр.Карла Маркса
236510;2365;192;10;ул.Нагорная
236511;2365;194;11;ул.Ставропольская
236512;2365;569;12;Кинотеатр Юность
236513;2365;571;13;Станция метро Безымянка
236514;2365;573;14;ул.Александра Матросова
236515;2365;575;15;ул.Средне-Садовая
236516;2365;451;16;Станция метро Победа
236517;2365;452;17;ул.Красных Коммунаров
236518;2365;93;18;Заводское шоссе
236519;2365;454;19;Госбанк
236520;2365;455;20;ул.Кабельная
236521;2365;456;21;ОАО Моторостроитель
236522;2365;459;22;Профтехучилище
236523;2365;461;23;Проходная ОАО Моторостроитель
236524;2365;463;24;ул.Береговая
236525;2365;470;25;Завод Экран
236526;2365;466;26;Завод Экран
236601;2366;466;1;Завод Экран
236602;2366;464;2;ул.Береговая
236603;2366;462;3;Проходная ОАО Моторостроитель
236604;2366;460;4;Профтехучилище
236605;2366;458;5;Заводское шоссе
236606;2366;474;6;Клуб Мир
236607;2366;475;7;ул.Кабельная
236608;2366;476;8;Госбанк
236609;2366;104;9;Заводское шоссе
236610;2366;486;10;ул.Красных Коммунаров
236611;2366;477;11;Станция метро Победа
236612;2366;576;12;ул.Средне-Садовая
236613;2366;574;13;ул.Александра Матросова
236614;2366;572;14;Станция метро Безымянка
236615;2366;570;15;Кинотеатр Юность
236616;2366;195;16;ул.Ставропольская
236617;2366;193;17;ул.Нагорная
236618;2366;191;18;пр.Карла Маркса
236619;2366;578;19;ул.Стара-Загора
236620;2366;567;20;ул.Фадеева
236621;2366;565;21;Московское шоссе
236622;2366;26;22;11-й микрорайон
236623;2366;27;23;Завод Тарасова
236624;2366;563;24;ул.Фадеева
236625;2366;561;25;Парк Гагарина
236626;2366;559;26;ул.Стара-Загора
236627;2366;183;27;9-й микрорайон
236628;2366;182;28;9-й микрорайон
256501;2565;183;1;9-й микрорайон
256502;2565;595;2;Поликлиника
256503;2565;440;3;Магазин
256504;2565;442;4;Экономическая академия
256505;2565;483;5;Педуниверситет
256506;2565;481;6;ул.Карбышева
256507;2565;479;7;ул.Ивана Булкина
256508;2565;273;8;Дом Печати
256509;2565;274;9;Автовокзал Центральный
256510;2565;31;10;Аэрокосмический университет
256511;2565;32;11;ул.Революционная
256512;2565;176;12;Клиники Медуниверситета
256513;2565;337;13;ул.Мичурина
256514;2565;338;14;КРЦ Звезда
256515;2565;339;15;ул.Челюскинцев
256516;2565;340;16;Площадь Героев 21-й Армии
256517;2565;341;17;ул.Первомайская
256518;2565;342;18;ул.Полевая
256519;2565;343;19;Площадь Сельского хозяйства
256520;2565;344;20;Самарская площадь
256521;2565;345;21;ул.Ульяновская
256522;2565;346;22;ул.Красноармейская
256523;2565;347;23;ул.Льва Толстого
256524;2565;348;24;ул.Высоцкого
256601;2566;348;1;ул.Высоцкого
256602;2566;349;2;ул.Льва Толстого
256603;2566;350;3;ул.Красноармейская
256604;2566;351;4;ул.Вилоновская
256605;2566;1400;5;ул.Ярмарочная
256606;2566;352;6;Самарская площадь
256607;2566;353;7;Площадь Сельского хозяйства
256608;2566;354;8;пр.Ленина
256609;2566;355;9;ул.Первомайская
256610;2566;356;10;Площадь Героев 21-й Армии
256611;2566;357;11;ул.Челюскинцев
256612;2566;1455;12;КРЦ Звезда
256613;2566;359;13;ул.Мичурина
256614;2566;147;14;Клиники Медуниверситета
256615;2566;79;15;ул.Революционная
256616;2566;48;16;Аэрокосмический университет
256617;2566;226;17;Автовокзал Центральный
256618;2566;227;18;Дом Печати
256619;2566;478;19;ул.Ивана Булкина
256620;2566;480;20;ул.Карбышева
256621;2566;482;21;Педуниверситет
256622;2566;443;22;Экономическая академия
256623;2566;441;23;Магазин
256624;2566;596;24;Поликлиника
256625;2566;597;25;9-й микрорайон
256626;2566;183;26;9-й микрорайон
296501;2965;226;1;Автовокзал Центральный
