mv_id	mr_id	mv_start_date	mv_end_date
13	20	2014-01-01	
15	24	2014-01-01	
16	26	2014-01-01	
23	31	2014-01-01	
25	33	2014-01-01	
29	37	2014-01-01	
36	46	2014-01-01	
37	47	2014-01-01	
40	58	2019-11-08	
43	60	2014-01-01	
44	61	2014-01-01	
51	68	2014-01-01	
55	71	2014-05-22	
56	72	2014-04-01	
74	90	2014-04-01	
93	105	2014-01-01	
94	106	2014-01-01	
96	108	2018-04-21	
106	118	2014-07-01	
108	120	2014-07-02	
109	121	2014-07-02	
118	127	2014-07-09	
120	129	2019-09-12	
121	140	2014-07-14	
122	145	2014-07-14	
124	143	2014-07-14	
125	146	2014-07-14	
128	141	2014-07-14	
129	151	2014-07-14	
130	139	2014-07-14	
131	138	2014-07-14	
134	133	2014-07-14	
137	136	2014-07-14	
139	153	2014-01-01	
147	161	2014-01-01	
148	162	2014-01-01	
149	163	2014-01-01	
150	164	2014-01-01	
164	176	2019-10-23	2020-01-08
168	180	2014-01-01	
169	154	2014-10-10	
171	182	2014-01-01	
178	187	2015-02-25	
190	193	2015-04-30	
197	200	2015-05-12	
198	201	2015-05-12	
206	44	2015-08-03	
215	199	2015-11-01	
219	19	2015-11-09	
247	207	2016-04-01	
249	209	2016-04-01	
250	135	2019-09-12	
251	210	2016-04-01	
254	213	2016-04-01	
275	23	2016-07-01	
283	126	2019-03-25	
302	134	2016-09-01	
303	219	2016-09-08	
304	112	2016-09-13	
309	185	2016-11-14	
333	82	2017-04-22	
349	104	2017-04-22	
352	110	2017-04-22	
353	225	2017-05-03	
362	93	2017-06-02	
363	69	2017-06-02	
364	70	2017-06-30	
365	43	2017-06-30	
373	232	2017-08-09	
374	233	2017-08-08	
375	234	2017-08-24	
376	235	2017-09-01	
378	237	2017-08-08	
380	142	2017-07-25	
381	239	2017-08-08	
384	242	2017-10-04	
385	243	2017-08-14	2018-12-03
386	244	2017-08-09	
387	245	2017-08-08	
388	247	2017-08-08	
389	246	2017-10-03	
390	248	2017-09-01	
391	249	2017-08-14	
392	250	2017-09-12	
394	252	2017-08-10	
395	253	2017-08-14	
396	254	2017-08-14	
397	255	2017-08-15	
398	256	2017-08-16	
400	258	2017-09-20	
404	259	2017-09-21	
405	260	2017-09-25	
415	102	2017-10-20	
416	98	2017-10-20	
419	15	2017-10-20	
420	36	2017-10-20	
427	27	2017-10-18	
428	34	2017-10-18	
431	117	2018-08-06	
434	81	2017-11-13	
435	14	2017-11-15	
446	152	2017-12-23	
449	113	2018-01-11	
458	119	2017-12-15	
459	122	2017-12-15	
461	196	2017-12-22	
465	159	2018-01-13	
466	262	2018-01-01	
469	156	2018-01-19	
470	202	2018-01-19	
472	111	2018-01-23	
473	97	2018-01-23	
474	103	2018-01-23	
475	12	2018-01-23	
476	115	2018-01-23	
478	230	2018-01-25	
479	227	2018-02-07	
480	231	2018-01-27	
481	263	2018-01-30	
484	148	2018-02-26	
485	160	2018-02-26	
489	75	2018-04-21	
491	109	2018-04-21	
509	208	2018-04-08	
510	214	2018-04-08	
511	211	2018-04-08	
515	107	2018-04-21	
516	77	2018-04-21	
534	212	2018-05-08	
537	25	2018-07-05	
542	276	2018-06-09	
547	39	2018-07-17	
554	48	2018-07-17	
572	150	2018-10-02	
575	28	2018-10-19	
581	288	2018-11-01	
582	64	2018-07-22	
583	289	2018-11-09	
592	243	2018-12-04	
593	238	2018-12-05	
594	241	2018-12-05	
595	100	2018-12-12	
599	229	2018-12-06	
600	228	2018-12-07	
603	123	2018-12-07	
607	137	2019-02-01	
612	166	2019-01-25	
613	198	2019-01-26	
615	221	2019-02-09	
616	49	2018-04-05	
617	99	2018-04-05	
618	35	2018-04-05	
619	30	2018-04-05	
623	32	2018-04-05	
631	264	2019-03-09	
637	62	2019-04-15	
638	45	2019-04-15	
640	125	2019-04-05	
646	270	2019-04-12	
647	194	2019-04-12	
648	184	2019-04-12	
649	183	2019-04-12	
650	177	2019-04-12	
658	291	2019-04-23	2019-07-05
661	89	2019-04-27	
663	67	2019-04-27	
665	92	2019-04-27	
666	96	2019-04-27	
667	94	2019-04-27	
671	226	2019-04-27	
673	76	2019-04-27	
674	84	2019-04-27	
676	86	2019-04-27	
677	87	2019-04-27	
678	79	2019-04-27	
679	80	2019-04-27	
680	95	2019-04-27	
681	83	2019-04-27	
683	1	2019-06-10	
685	91	2019-04-27	
687	85	2019-05-22	
693	290	2019-04-06	
694	191	2019-04-29	
697	291	2019-07-06	
699	18	2019-11-11	
700	293	2019-08-20	
701	65	2019-04-27	
702	66	2019-04-27	
703	124	2019-09-14	
704	10	2019-09-12	
708	236	2019-10-17	
709	294	2020-03-18	2020-06-01
710	114	2019-10-22	
713	176	2020-01-09	
716	29	2019-11-01	
717	73	2019-11-11	
718	59	2019-11-11	
719	38	2019-12-02	
721	130	2019-12-02	
727	144	2020-01-01	
729	295	2020-01-21	
749	268	2020-03-04	
751	305	2020-03-04	
752	132	2020-05-25	
753	116	2020-04-28	
754	306	2020-05-21	2020-06-01
757	306	2020-06-02	
758	294	2020-06-02	
759	17	2020-06-29	
764	192	2020-08-12	
765	155	2020-08-12	
