rl_id	mv_id	rl_name
1365	13	Автостанция Аврора - Железнодорожный вокзал (стоянка)
1366	13	Железнодорожный вокзал (стоянка) - Автостанция Аврора
1565	15	Дом Печати - Завод Экран
1566	15	Завод Экран - Дом Печати
1567	15	Дом Печати - Завод Экран
1568	15	Завод Экран - Дом Печати
1569	15	Дом Печати - Станция метро Кировская
1570	15	Станция метро Кировская - Дом Печати
1571	15	Дом Печати - Площадь им. Кирова
1572	15	Площадь им. Кирова - Дом Печати
1665	16	14-й микрорайон - Хлебная площадь
1666	16	Хлебная площадь - 14-й микрорайон
2365	23	9-й микрорайон - Завод Экран
2366	23	Завод Экран - 9-й микрорайон
2367	23	9-й микрорайон - Заводское шоссе
2368	23	Заводское шоссе - 9-й микрорайон
2369	23	9-й микрорайон - ул.Красных Коммунаров
2370	23	ул.Красных Коммунаров - 9-й микрорайон
2565	25	9-й микрорайон - ул.Высоцкого
2566	25	ул.Высоцкого - 9-й микрорайон
2965	29	Автовокзал Центральный - ул.Кабельная
2966	29	ул.Кабельная - Автовокзал Центральный
3665	36	Приволжский микрорайон - Юнгородок
3666	36	Юнгородок - Приволжский микрорайон
3765	37	Завод Металлург - Площадь Революции
3766	37	Площадь Революции - Завод Металлург
4065	40	Клуб Мир - СЗКС
4066	40	СЗКС - Клуб Мир
4067	40	Завод Экран - ул.Стара-Загора
4068	40	ул.Стара-Загора - Завод Экран
4069	40	ОАО Моторостроитель - Завод Экран
4070	40	Завод Экран - ОАО Моторостроитель
4071	40	Троллейбусное депо № 2 - ул.Стара-Загора
4072	40	ул.Стара-Загора - Троллейбусное депо № 2
4073	40	ОАО Моторостроитель - СЗКС
4074	40	СЗКС - ОАО Моторостроитель
4075	40	Троллейбусное депо № 2 - Клуб Мир
4076	40	Клуб Мир - Троллейбусное депо № 2
4077	40	Завод Экран - Клуб Мир
4078	40	Клуб Мир - Завод Экран
4365	43	ТЦ Колизей - ТЦ Колизей
4465	44	ТЦ Колизей - ТЦ Колизей
5165	51	Завод Металлург - Институт Индустройпроект
5166	51	Институт Индустройпроект - Завод Металлург
5167	51	АТП 5 - Институт Индустройпроект
5168	51	Институт Индустройпроект - АТП 5
5169	51	Станция метро Победа - Институт Индустройпроект
5170	51	Институт Индустройпроект - Станция метро Победа
5565	55	Завод Металлург - Троллейбусное депо № 2
5566	55	Троллейбусное депо № 2 - Завод Металлург
5567	55	ул.Стара-Загора - Троллейбусное депо № 2
5568	55	Троллейбусное депо № 2 - ул.Стара-Загора
5665	56	Хлебная площадь - СДМ Новая деревня
5666	56	СДМ Новая деревня - Хлебная площадь
7465	74	ул.Физкультурная - 3-я дачная (Алексеевские дачи)
7466	74	3-я дачная (Алексеевские дачи) - ул.Физкультурная
9365	93	ул.Грозненская - ЦУМ Самара-Пригородный автовокзал
9366	93	ЦУМ Самара-Пригородный автовокзал - ул.Грозненская
9465	94	ул.Грозненская - Площадь Революции
9466	94	Площадь Революции - ул.Грозненская
