rc_id	rl_id	ss_id	rc_orderby	rc_dist
136501	1365	615	1	0.221701
136502	1365	268	2	0.205494
136503	1365	269	3	0.953777
136504	1365	270	4	0.416033
136505	1365	271	5	0.505304
136506	1365	272	6	0.361080
136507	1365	273	7	0.249000
136508	1365	274	8	0.834000
136509	1365	31	9	0.534468
136510	1365	32	10	0.873940
136511	1365	176	11	1.046034
136512	1365	177	12	0.712554
136513	1365	178	13	0.878130
136514	1365	35	14	0.583443
136515	1365	44	15	0.992810
136516	1365	37	16	0.170533
136517	1365	38	17	0.658111
136518	1365	553	18	0.036788
136519	1365	552	19	0.000000
136601	1366	552	1	0.054965
136602	1366	40	2	0.187336
136603	1366	143	3	0.510014
136604	1366	42	4	0.674328
136605	1366	43	5	0.688474
136606	1366	36	6	0.510439
136607	1366	45	7	0.827413
136608	1366	145	8	0.789304
136609	1366	146	9	0.955219
136610	1366	147	10	0.977556
136611	1366	79	11	0.573585
136612	1366	48	12	0.616000
136613	1366	226	13	0.253000
136614	1366	227	14	0.372154
136615	1366	228	15	0.564608
136616	1366	229	16	0.555336
136617	1366	230	17	0.437585
136618	1366	231	18	0.647000
136619	1366	615	19	0.000000
156501	1565	273	1	0.249000
156502	1565	274	2	0.379000
156503	1565	49	3	0.439000
156504	1565	50	4	0.754000
156505	1565	437	5	0.808000
156506	1565	438	6	0.499000
156507	1565	440	7	0.463000
156508	1565	442	8	0.690000
156509	1565	444	9	0.349000
156510	1565	446	10	0.709000
156511	1565	448	11	0.784000
156512	1565	451	12	0.310000
156513	1565	452	13	1.172000
156514	1565	93	14	0.825000
156515	1565	454	15	0.612000
156516	1565	455	16	0.810000
156517	1565	456	17	0.582000
156518	1565	459	18	0.231000
156519	1565	461	19	0.419000
156520	1565	463	20	0.526000
156521	1565	470	21	0.123000
156522	1565	466	22	0.000000
156601	1566	466	1	0.455000
156602	1566	464	2	0.454000
156603	1566	462	3	0.232000
156604	1566	460	4	0.386000
156605	1566	458	5	0.527000
156606	1566	210	6	1.463000
156607	1566	223	7	0.370000
156608	1566	206	8	0.281000
