ss_id	ss_name	ss_lat	ss_long
2	Завод Электрощит	53.381994	50.166450
3	пос.Южный	53.372294	50.177035
4	Развилка	53.370268	50.188537
5	Дома ЭМО	53.365598	50.197635
6	31 км	53.355974	50.209239
7	4-й квартал	53.349778	50.216014
8	пос.Управленческий	53.346457	50.218224
9	7-й участок	53.346606	50.230318
10	Горелый Хутор	53.332339	50.255571
11	пос.Озерки	53.314064	50.272177
12	Пансионат	53.307685	50.278013
13	СПТУ-50	53.303375	50.282002
14	Мехзавод	53.299319	50.285609
15	ул.Совхозная	53.292765	50.285330
16	19 км	53.286340	50.283238
17	ТРК Московский	53.278585	50.271699
18	18 км	53.276464	50.267437
19	ул.Алма-Атинская	53.270810	50.256929
20	16 км	53.263915	50.244132
21	ул.Ташкентская	53.260456	50.237909
22	ул.Георгия Димитрова	53.255346	50.229449
23	Ипподром	53.250300	50.221049
24	7-й микрорайон	53.246879	50.215553
25	ул.Ново-Вокзальная	53.242144	50.208694
26	11-й микрорайон	53.240030	50.206093
27	Завод Тарасова	53.236789	50.202053
28	Телецентр	53.227751	50.193889
29	ул.Потапова	53.221701	50.189922
30	Автовокзал Центральный	53.218156	50.187446
31	Аэрокосмический университет	53.213004	50.180558
32	ул.Революционная	53.209721	50.175016
33	Станция метро Московская	53.203922	50.162179
34	ул.Киевская	53.203330	50.147741
35	Площадь Памяти	53.202439	50.137042
36	Сквер Мичурина	53.199297	50.130529
37	Губернский рынок	53.194078	50.123089
38	ЦУМ Самара-Пригородный автовокзал	53.192697	50.122152
39	Поликлиника(Железнодорожный вокзал)	53.187368	50.118611
40	Железнодорожный вокзал	53.186764	50.119051
42	ЦУМ Самара-Пригородный автовокзал	53.191157	50.124389
43	Губернский рынок	53.195850	50.126245
44	Сквер Мичурина	53.199276	50.130360
45	Площадь Памяти	53.201999	50.136436
46	ул.Киевская	53.203257	50.147828
47	Станция метро Московская	53.203704	50.161647
48	Аэрокосмический университет	53.212945	50.180826
49	Автовокзал Центральный	53.218110	50.187739
50	ул.Потапова	53.221688	50.190032
51	Телецентр	53.228744	50.194656
52	Завод Тарасова	53.236928	50.202359
53	11-й микрорайон	53.240084	50.206296
54	ул.Ново-Вокзальная	53.243723	50.210862
55	7-й микрорайон	53.247389	50.216513
56	пр.Кирова	53.252181	50.224399
57	ул.Георгия Димитрова	53.256408	50.231391
58	ул.Ташкентская	53.260427	50.238059
59	16 км	53.264337	50.245119
60	ул.Алма-Атинская	53.270778	50.257025
61	18 км	53.275523	50.266061
62	ТРК Московский	53.278816	50.272708
63	19 км	53.287225	50.283662
64	ул.Совхозная	53.293661	50.285746
65	Мехзавод	53.298964	50.287693
66	СПТУ-50	53.303772	50.282262
67	Пансионат	53.307876	50.278123
68	пос.Озерки	53.314177	50.272405
69	Горелый Хутор	53.332646	50.255480
70	7-й участок	53.346689	50.230565
71	пос.Управленческий	53.346550	50.218648
72	4-й квартал	53.349842	50.216127
73	31 км	53.356041	50.209341
74	Дома ЭМО	53.365914	50.196835
75	Развилка	53.370438	50.188323
76	пос.Южный	53.372214	50.177739
77	Завод Электрощит	53.381994	50.166847
78	Автостанция Красная Глинка	53.384748	50.168821
79	ул.Революционная	53.209482	50.174882
80	Автостанция Красная Глинка	53.384613	50.169362
81	Северное трамвайное депо	53.233444	50.206083
82	10-й микрорайон	53.235552	50.210768
83	ул.Ново-Вокзальная	53.237827	50.215642
84	ул.Стара-Загора	53.235084	50.220298
85	пр.Карла Маркса	53.231808	50.224727
86	ул.Нагорная	53.226432	50.231818
87	ул.Ставропольская	53.223613	50.234722
88	Школа	53.219804	50.227516
89	ул.XXII Партсъезда	53.216675	50.222355
90	ул.Вольская	53.211593	50.228782
91	Станция метро Победа	53.206221	50.235638
92	ул.Красных Коммунаров	53.204062	50.238341
93	Заводское шоссе	53.195899	50.247863
94	Госбанк	53.199281	50.257299
95	ул.Кабельная	53.202494	50.265088
96	ОАО Моторостроитель	53.205874	50.273403
97	Авиагородок	53.209402	50.281997
99	Юнгородок	53.213005	50.286347
100	Авиагородок	53.209478	50.281669
101	ОАО Моторостроитель	53.206054	50.273500
102	ул.Кабельная	53.202405	50.264657
103	Госбанк	53.199454	50.257482
104	Заводское шоссе	53.196054	50.247944
105	ул.Красных Коммунаров	53.204039	50.238596
106	Станция метро Победа	53.206326	50.235673
107	ул.Вольская	53.211760	50.228804
108	ул.Ставропольская	53.216649	50.222634
109	Школа	53.219829	50.227956
110	ул.Ставропольская (ул.Ново-Вокзальная)	53.223563	50.234908
111	ул.Нагорная	53.226949	50.231309
112	пр.Карла Маркса	53.231768	50.224901
113	ул.Стара-Загора	53.234789	50.220829
114	ул.Фадеева	53.237852	50.215524
115	10-й микрорайон	53.236250	50.212016
116	Северное трамвайное депо	53.233502	50.205911
120	14-й микрорайон	53.254399	50.232562
121	14-й микрорайон	53.254546	50.232676
122	Универсам	53.251716	50.237175
123	Универсам	53.251324	50.238192
124	ТЦ Колизей	53.247947	50.246235
125	ТЦ Колизей	53.248005	50.245839
126	Рынок - 15-й микрорайон	53.244079	50.252007
127	Рынок - 15-й микрорайон	53.244699	50.253732
128	пр.Карла Маркса	53.245466	50.258208
129	пр.Карла Маркса	53.246135	50.256958
130	15-й А микрорайон	53.249007	50.266038
131	15-й А микрорайон	53.249642	50.264678
132	ТЦ Колизей	53.248820	50.248966
133	ТЦ Колизей	53.249304	50.249756
134	15-й микрорайон	53.250740	50.252843
135	15-й микрорайон	53.250926	50.253700
136	Дачи	53.255120	50.263049
137	Дачи	53.255766	50.263939
138	ТЭЦ	53.251934	50.267687
140	ул.Красных Коммунаров	53.203344	50.238175
141	СТД	53.234449	50.208614
142	станция 10	53.234251	50.208061
143	Железнодорожный вокзал	53.187058	50.121538
144	ул.Чкалова	53.197703	50.127536
145	Выставочный центр Экспо-Волга	53.206386	50.145969
146	пр.Масленникова	53.210562	50.155077
147	Клиники Медуниверситета	53.204897	50.163558
148	Ипподром	53.250190	50.221189
149	Московское шоссе	53.249769	50.224000
150	13-й микрорайон	53.246746	50.227841
151	13-й микрорайон	53.246893	50.227894
152	ул.Стара-Загора	53.242916	50.232738
153	ул.Стара-Загора	53.243186	50.232588
154	Шоколадная фабрика	53.239728	50.236778
155	Шоколадная фабрика	53.239802	50.236949
156	Кинотеатр Огонек	53.237349	50.239825
157	Кинотеатр Огонек	53.236730	50.240796
158	ул.Черемшанская	53.233586	50.244578
159	ул.Черемшанская	53.234126	50.244116
160	ул.Ставропольская	53.229428	50.249872
161	ул.Ставропольская	53.229515	50.249974
162	Ремесленный пер.	53.226172	50.254207
163	Ремесленный пер.	53.226001	50.254877
164	ул.Севастопольская	53.225965	50.260636
165	ул.Севастопольская	53.226267	50.261006
166	ул.Советская	53.228969	50.267172
167	ул.Советская	53.228962	50.266877
168	ул.Пугачевская	53.230908	50.271367
169	ул.Пугачевская	53.231017	50.271223
170	Площадь им.П.П.Мочалова	53.233133	50.276399
171	Площадь им.П.П.Мочалова	53.233317	50.275782
172	Дом Одежды	53.236825	50.278595
173	Дом Одежды	53.236867	50.277903
174	Завод Металлург	53.240754	50.280643
175	Московское шоссе	53.250134	50.223893
176	Клиники Медуниверситета	53.205113	50.164958
177	ул.Мичурина	53.210880	50.155377
178	Выставочный центр Экспо-Волга	53.207090	50.147176
179	ул.Буянова	53.198462	50.126609
180	Поликлиника	53.187831	50.118847
181	Губернский рынок	53.194369	50.123306
182	9-й микрорайон	53.225814	50.211042
183	9-й микрорайон	53.225602	50.210966
184	Кинотеатр Шипка	53.229654	50.208955
185	Кинотеатр Шипка	53.230264	50.210125
186	10-й микрорайон	53.231314	50.212592
187	10-й микрорайон	53.231934	50.213783
188	ул.Ново-Вокзальная	53.234333	50.219223
189	ул.Ново-Вокзальная	53.234153	50.218665
190	пр.Карла Маркса	53.231684	50.224689
191	пр.Карла Маркса	53.231970	50.224775
192	ул.Нагорная	53.226456	50.231615
193	ул.Нагорная	53.227148	50.231171
194	ул.Ставропольская	53.223431	50.234704
195	ул.Ставропольская	53.223610	50.235144
196	пр.Юных Пионеров	53.220489	50.231142
197	ул.Ставропольская	53.220611	50.231228
198	ул.Александра Матросова	53.216345	50.237129
199	ул.Александра Матросова	53.216988	50.237741
200	ул.Ново-Вокзальная	53.219242	50.243416
201	ул.Ново-Вокзальная	53.219152	50.242515
202	Безымянский рынок	53.220161	50.250916
203	Безымянский рынок	53.219050	50.249317
204	Губернский рынок	53.195873	50.126384
205	ул.Победы	53.216429	50.256977
206	ул.Воронежская	53.216602	50.256377
207	Площадь им. Кирова	53.218651	50.263393
209	Станция метро Кировская	53.210338	50.273478
210	Станция метро Кировская	53.210421	50.273875
211	ОАО Гидроавтоматика	53.211588	50.287480
212	Юнгородок	53.212991	50.292039
213	Площадь им. Кирова	53.218960	50.261505
214	Площадь им.Кирова	53.218677	50.264080
215	Автостанция Вольская	53.224540	50.254298
216	Автостанция Вольская	53.225098	50.256218
217	ул.Воронежская	53.222329	50.249407
218	ул.Воронежская	53.221963	50.249384
219	Клуб Победа	53.223778	50.257039
220	Клуб Победа	53.223900	50.257168
223	Площадь им. Кирова	53.218576	50.260628
224	ул.Ульяновская	53.195441	50.123360
225	сквер Калинина	53.215573	50.253634
226	Автовокзал Центральный	53.214781	50.187764
227	Дом Печати	53.213116	50.189136
228	ул.Антонова-Овсеенко	53.209868	50.189291
229	ул.Дыбенко	53.204949	50.189710
230	ул.Гагарина	53.200110	50.190110
231	ул.Мориса Тореза	53.196296	50.190416
232	Автостанция Аврора	53.190352	50.190988
233	ул.Балаковская	53.184656	50.191422
234	Ясский пер.	53.180512	50.191698
236	Сельхозярмарка	53.130697	50.172088
237	Совхоз Кряж	53.130157	50.151227
238	ул.Омская	53.132779	50.132341
239	ул.Уральская	53.133703	50.124058
240	Кряж	53.135570	50.102561
241	Ильинская церковь	53.132641	50.097349
242	ул.Войкова	53.129895	50.093073
243	Заготзерно	53.125652	50.089418
244	Гастроном	53.121877	50.087540
245	ул.Бакинская	53.118908	50.085011
246	ул.Зеленая	53.119585	50.079909
247	Торговый пер.	53.119253	50.073681
248	ул.Калининградская	53.117273	50.068901
249	ул.Грозненская	53.115204	50.063887
250	ул.Фасадная	53.111794	50.066559
251	ул.40 лет Пионерии	53.107565	50.071269
252	ул.Егорова	53.107171	50.079875
253	Молодежный пер.	53.114452	50.075647
254	ул.Медицинская	53.116352	50.080367
255	ул.Бакинская	53.118052	50.085013
256	Гастроном	53.122138	50.087966
257	Заготзерно	53.126078	50.089922
258	ул.Войкова	53.129129	50.092231
259	Ильинская церковь	53.132299	50.097132
260	Кряж	53.135861	50.104739
261	ул.Уральская	53.133626	50.123881
262	ул.Омская	53.132618	50.132609
263	Совхоз Кряж	53.129756	50.152149
264	Сельхозярмарка	53.131411	50.172818
266	Ясский пер.	53.180634	50.192020
267	ул.Балаковская	53.184568	50.191668
268	Автостанция Аврора	53.192244	50.191035
269	ул.Мориса Тореза	53.194031	50.190885
270	ул.Гагарина	53.202340	50.190149
271	ул.Дыбенко	53.205964	50.189849
272	ул.Антонова-Овсеенко	53.210367	50.189512
273	Дом Печати	53.213164	50.189372
274	Автовокзал Центральный	53.215060	50.187768
275	Автошкола	53.104782	50.074423
276	ул.Калининградская	53.108704	50.078538
277	пос.Озерный	53.147334	50.139137
278	ул.Снежная	53.141693	50.131523
279	пос.Водников	53.137394	50.124936
280	Заправка	53.135432	50.118069
281	Заправка	53.135458	50.117072
282	пос.Водников	53.137013	50.124389
283	Кирзавод	53.147491	50.135804
284	Совхоз Кряж (ул.Центральная)	53.138679	50.149780
285	Совхоз Кряж (ул.Поселковая)	53.137001	50.154895
286	Совхоз Кряж (ул.Центральная)	53.138578	50.149505
287	Совхоз Кряж (ул.Поселковая)	53.136828	50.155007
288	пос.Озерный	53.146860	50.140385
289	Кирзавод	53.147285	50.136169
290	ул.Снежная	53.142431	50.132700
291	ул.Партизанская	53.187303	50.191212
292	ул.Партизанская	53.187264	50.191427
293	ул.Грозненская	53.103224	50.077086
294	ул.40 лет Пионерии	53.107729	50.071417
295	ул.Фасадная	53.111014	50.067705
296	Нефтебаза	53.124800	50.057762
297	Пожарное депо	53.127217	50.052016
298	Дачи	53.135544	50.050713
299	Очистные сооружения	53.140789	50.063716
300	Магазин	53.146717	50.068383
301	ул.Обувная	53.151321	50.068785
302	ул.Белорусская	53.149022	50.062466
303	Завод Нефтемаш	53.147648	50.057322
304	Универсам	53.145090	50.050723
305	Школа № 55	53.143007	50.041582
306	Дачная	53.144703	50.030119
307	пос.Сухая Самарка	53.149247	50.024938
308	Дачная	53.144416	50.030526
309	Школа № 55	53.142858	50.042333
310	Универсам	53.144839	50.050718
311	Завод Нефтемаш	53.147880	50.058566
312	ул.Белорусская	53.149183	50.063582
313	ул.Обувная	53.151073	50.068952
314	Магазин	53.146127	50.067927
315	Очистные сооружения	53.141054	50.063882
316	Дачи	53.135157	50.050090
317	Пожарное депо	53.127459	50.051415
318	Нефтебаза	53.124626	50.057686
319	ул.Нефтяников	53.111477	50.075357
320	ул.Нефтяников	53.111814	50.074618
322	116 км	53.115961	50.061308
323	завод Минвата	53.113156	50.053857
324	Конструкторская	53.104893	50.038434
325	113 км	53.102488	50.035273
326	Конструкторская	53.104751	50.038493
327	завод Минвата	53.112918	50.053599
328	116 км	53.115629	50.061683
329	Клуб Знамя	53.172256	50.191799
330	ул.Волгина	53.191537	50.184721
331	Дом Молодежи	53.191402	50.179903
332	ул.Мориса Тореза	53.195837	50.178997
333	ул.Гагарина	53.198617	50.178761
334	Мехзавод № 1	53.204407	50.178364
335	ул.Гаражная	53.207383	50.176636
336	Московское шоссе	53.208827	50.173391
337	ул.Мичурина	53.211402	50.155538
338	КРЦ Звезда	53.215870	50.147143
339	ул.Челюскинцев	53.210531	50.140861
340	Площадь Героев 21-й Армии	53.208073	50.136017
341	ул.Первомайская	53.205085	50.129596
342	ул.Полевая	53.203733	50.126694
343	Площадь Сельского хозяйства	53.204732	50.122499
344	Самарская площадь	53.201602	50.115557
345	ул.Ульяновская	53.198174	50.108937
346	ул.Красноармейская	53.192797	50.105231
347	ул.Льва Толстого	53.189332	50.102865
348	ул.Высоцкого	53.186841	50.099212
349	ул.Льва Толстого	53.189191	50.102945
350	ул.Красноармейская	53.191903	50.104823
351	ул.Вилоновская	53.197004	50.108299
352	Самарская площадь	53.201143	50.114801
353	Площадь Сельского хозяйства	53.204928	50.123228
354	пр.Ленина	53.203620	50.127085
355	ул.Первомайская	53.204629	50.129274
356	Площадь Героев 21-й Армии	53.207360	50.135153
357	ул.Челюскинцев	53.210004	50.140389
358	КРЦ Звезда	53.215722	50.147164
359	ул.Мичурина	53.211482	50.155254
360	ул.Революционная	53.208160	50.175446
361	Мехзавод № 1	53.204208	50.178171
362	ул.Гагарина	53.198336	50.178254
363	ул.Мориса Тореза	53.195913	50.178436
364	Дом Молодежи	53.191613	50.178758
365	ул.Волгина	53.191381	50.183323
366	Хлебная площадь	53.179587	50.079612
367	Площадь Революции	53.185077	50.088273
368	ул.Молодогвардейская	53.183756	50.094613
369	Троицкий рынок	53.184659	50.099871
370	ул.Садовая	53.184653	50.102639
371	Переезд	53.182033	50.110138
372	Амбулаторная	53.183473	50.115449
373	Перекидной мост	53.183165	50.121972
374	ул.Восточная	53.183104	50.125276
375	ул.Ново-Советская	53.182891	50.129992
376	ул.Железноводская	53.181724	50.134696
377	ул.Тоцкая	53.179667	50.139465
378	Магазин № 5	53.178535	50.143864
379	пос.Шмидта	53.176286	50.150718
380	Магазин № 5	53.178583	50.144041
381	ул.Тоцкая	53.179744	50.139245
382	ул.Железноводская	53.181763	50.134895
383	ул.Ново-Советская	53.182962	50.129842
384	ул.Восточная	53.183177	50.125652
385	Перекидной мост	53.183357	50.121189
386	Амбулаторная	53.183605	50.115669
387	Переезд	53.182129	50.110063
388	ул.Садовая	53.185251	50.100638
389	Троицкий рынок	53.184431	50.099527
390	ул.Молодогвардейская	53.184039	50.094018
391	Площадь Революции	53.185093	50.086942
392	ул.Буянова	53.187275	50.115053
393	Стадион Динамо	53.188679	50.109275
394	Театр Кукол	53.189910	50.104131
395	ул.Молодогвардейская	53.190929	50.099855
396	ул.Молодогвардейская	53.191202	50.098407
397	Филармония	53.192070	50.095156
398	Филармония	53.192221	50.093997
