rc_id;rl_id;mr_id;ss_id;rc_orderby;rc_dist
136501;1365;20;615;1;0.221701
136502;1365;20;268;2;0.205494
136503;1365;20;269;3;0.953777
136504;1365;20;270;4;0.416033
136505;1365;20;271;5;0.505304
136506;1365;20;272;6;0.361080
136507;1365;20;273;7;0.249000
136508;1365;20;274;8;0.834000
136509;1365;20;31;9;0.534468
136510;1365;20;32;10;0.873940
136511;1365;20;176;11;1.046034
136512;1365;20;177;12;0.712554
136513;1365;20;178;13;0.878130
136514;1365;20;35;14;0.583443
136515;1365;20;44;15;0.992810
136516;1365;20;37;16;0.170533
136517;1365;20;38;17;0.658111
136518;1365;20;553;18;0.036788
136519;1365;20;552;19;0.000000
136601;1366;20;552;1;0.054965
136602;1366;20;40;2;0.187336
136603;1366;20;143;3;0.510014
136604;1366;20;42;4;0.674328
136605;1366;20;43;5;0.688474
136606;1366;20;36;6;0.510439
136607;1366;20;45;7;0.827413
136608;1366;20;145;8;0.789304
136609;1366;20;146;9;0.955219
136610;1366;20;147;10;0.977556
136611;1366;20;79;11;0.573585
136612;1366;20;48;12;0.616000
136613;1366;20;226;13;0.253000
136614;1366;20;227;14;0.372154
136615;1366;20;228;15;0.564608
136616;1366;20;229;16;0.555336
136617;1366;20;230;17;0.437585
136618;1366;20;231;18;0.647000
136619;1366;20;615;19;0.000000
156501;1565;24;273;1;0.249000
156502;1565;24;274;2;0.379000
156503;1565;24;49;3;0.439000
156504;1565;24;50;4;0.754000
156505;1565;24;437;5;0.808000
156506;1565;24;438;6;0.499000
156507;1565;24;440;7;0.463000
156508;1565;24;442;8;0.690000
156509;1565;24;444;9;0.349000
156510;1565;24;446;10;0.709000
156511;1565;24;448;11;0.784000
156512;1565;24;451;12;0.310000
156513;1565;24;452;13;1.172000
156514;1565;24;93;14;0.825000
156515;1565;24;454;15;0.612000
156516;1565;24;455;16;0.810000
156517;1565;24;456;17;0.582000
156518;1565;24;459;18;0.231000
156519;1565;24;461;19;0.419000
156520;1565;24;463;20;0.526000
156521;1565;24;470;21;0.123000
156522;1565;24;466;22;0.000000
156601;1566;24;466;1;0.455000
156602;1566;24;464;2;0.454000
156603;1566;24;462;3;0.232000
156604;1566;24;460;4;0.386000
156605;1566;24;458;5;0.527000
156606;1566;24;210;6;1.463000
156607;1566;24;223;7;0.370000
156608;1566;24;206;8;0.281000
156609;1566;24;1466;9;0.468000
156610;1566;24;203;10;0.646000
156611;1566;24;201;11;0.412000
156612;1566;24;199;12;0.711000
156613;1566;24;467;13;0.615000
156614;1566;24;447;14;0.405000
156615;1566;24;445;15;0.589000
156616;1566;24;443;16;0.502000
156617;1566;24;441;17;0.394000
156618;1566;24;439;18;0.458000
156619;1566;24;469;19;0.483000
156620;1566;24;28;20;0.745000
156621;1566;24;29;21;0.440000
156622;1566;24;30;22;0.510000
156623;1566;24;226;23;0.224000
156624;1566;24;227;24;0.479000
156625;1566;24;273;25;0.000000
156701;1567;24;273;1;0.243000
156702;1567;24;274;2;0.385000
156703;1567;24;49;3;0.439000
156704;1567;24;50;4;0.754000
156705;1567;24;437;5;0.812000
156706;1567;24;438;6;0.499000
156707;1567;24;440;7;0.463000
156708;1567;24;442;8;0.690000
156709;1567;24;444;9;0.349000
156710;1567;24;446;10;0.763000
156711;1567;24;471;11;0.609000
156712;1567;24;198;12;0.545000
156713;1567;24;200;13;0.338000
156714;1567;24;472;14;0.178000
156715;1567;24;218;15;0.600000
156716;1567;24;473;16;0.840000
156717;1567;24;207;17;1.179000
156718;1567;24;209;18;0.521000
156719;1567;24;457;19;0.351000
156720;1567;24;459;20;0.231000
156721;1567;24;461;21;0.419000
156722;1567;24;463;22;0.526000
156723;1567;24;470;23;0.123000
156724;1567;24;466;24;0.000000
156801;1568;24;466;1;0.455000
156802;1568;24;464;2;0.454000
156803;1568;24;462;3;0.232000
156804;1568;24;460;4;0.386000
156805;1568;24;458;5;0.297000
156806;1568;24;474;6;0.896000
156807;1568;24;475;7;0.627000
156808;1568;24;476;8;0.797000
156809;1568;24;104;9;1.142000
156810;1568;24;486;10;0.333000
156811;1568;24;477;11;0.746000
156812;1568;24;449;12;0.647000
156813;1568;24;447;13;0.405000
156814;1568;24;445;14;0.589000
156815;1568;24;443;15;0.502000
156816;1568;24;441;16;0.394000
156817;1568;24;439;17;0.458000
156818;1568;24;469;18;0.482000
156819;1568;24;28;19;0.743000
